# x1, y1, x2, y2
0.25320,0.34843,0.23018,0.33868
0.21813,-0.42702,0.21926,-0.40205
-0.32625,0.25807,-0.30204,0.25185
0.33481,0.09828,0.33167,0.07347
0.25320,0.34843,0.27453,0.36147
0.27453,0.36147,0.25734,0.34332
-0.39183,-0.44660,-0.37979,-0.46851
-0.41144,-0.34489,-0.43031,-0.32849
-0.41218,-0.21783,-0.40606,-0.24207
0.31880,-0.00902,0.31727,-0.03397
0.38966,-0.44729,0.39954,-0.42433
0.27453,0.36147,0.25421,0.37603
0.12139,-0.31037,0.10801,-0.33149
0.21668,0.32024,0.19668,0.33524
0.09740,-0.22634,0.09023,-0.20240
-0.12326,0.02802,-0.13211,0.05140
0.22531,-0.03311,0.20073,-0.02854
0.27453,0.36147,0.29516,0.37559
0.29516,0.37559,0.27495,0.36088
-0.29328,-0.01777,-0.31587,-0.00708
-0.20455,-0.09998,-0.22881,-0.09393
0.19070,0.07692,0.21526,0.08157
0.42098,0.01235,0.43007,0.03564
0.40953,-0.44303,0.43410,-0.44766
0.25734,0.34332,0.23461,0.33290
0.25734,0.34332,0.23704,0.35791
-0.34930,0.04149,-0.33891,0.06423
-0.33226,0.39540,-0.33023,0.42032
0.25421,0.37603,0.25759,0.40080
-0.44801,-0.00893,-0.45248,0.01566
0.29516,0.37559,0.27542,0.36026
0.02312,-0.29515,0.04727,-0.30161
-0.41218,-0.21783,-0.41990,-0.24160
0.33481,0.09828,0.35790,0.08868
-0.16523,0.07331,-0.18962,0.06782
-0.33023,0.42032,-0.35368,0.41167
0.21926,-0.40205,0.22695,-0.37826
0.13513,-0.08238,0.15985,-0.07866
0.37781,-0.08476,0.35592,-0.07270
0.05610,-0.10326,0.06629,-0.12609
0.16509,-0.15348,0.16714,-0.17840
0.06433,0.30074,0.08761,0.29163
-0.13929,-0.19778,-0.14919,-0.17482
-0.41218,-0.21783,-0.43151,-0.23367
-0.35368,0.41167,-0.37739,0.41962
0.30448,0.07538,0.29751,0.09939
-0.01111,-0.17555,-0.00187,-0.19878
0.37781,-0.08476,0.36262,-0.06491
0.37781,-0.08476,0.38604,-0.06116
0.15985,-0.07866,0.18426,-0.07323
-0.17811,0.05042,-0.17158,0.07455
0.29516,0.37559,0.31692,0.38791
-0.32625,0.25807,-0.35112,0.26064
0.31692,0.38791,0.33905,0.39953
-0.03021,-0.15943,-0.01363,-0.14072
-0.31213,0.38058,-0.33688,0.38417
0.33905,0.39953,0.32332,0.41897
-0.24201,-0.29372,-0.22681,-0.31357
